keyword;theme;schedule;google_cat_id;google_cat_hint;notes
Дім і сад > сучасний будинок > Аксесуари для домофонного обладнання;access;day;5404;Electronics > Communications > Intercom Accessories;auto
Дім і сад > сучасний будинок > кодонабірні клавіатури;access;day;1870;Hardware > Locks & Keys > Key Card Entry Systems;auto
безпека та захист > засоби і системи СККД > турнікети;access;day;1870;Hardware > Locks & Keys > Key Card Entry Systems;auto
безпека та захист > системи охорони та оповіщення > тривожні кнопки і кнопки виходу;access;day;365;Home & Garden > Business & Home Security > Security System Sensors;auto
матеріали для ремонту > аксесуари та фурнітура для вікон і дверей > аксесуари та комплектуючі для замків;access;day;503730;Hardware > Locks & Keys > Locks & Latches;auto
матеріали для ремонту > аксесуари та фурнітура для вікон і дверей > доводчики дверей;access_closers;day;6446;Hardware > Building Materials > Door Hardware > Door Closers;auto
безпека та захист > засоби і системи СККД > контролери СККД;access_controllers;day;1870;Hardware > Locks & Keys > Key Card Entry Systems;auto
безпека та захист > засоби і системи СККД > ідентифікатори;access_identifiers;day;1870;Hardware > Locks & Keys > Key Card Entry Systems;auto
Дім і сад > сучасний будинок > домофони;access_intercom;night;360;Electronics > Communications > Intercoms;auto
матеріали для ремонту > аксесуари та фурнітура для вікон і дверей > замки та клямки > Замки;access_locks;day;503730;Hardware > Locks & Keys > Locks & Latches;auto
безпека та захист > засоби і системи СККД > зчитувачі;access_readers;day;1870;Hardware > Locks & Keys > Key Card Entry Systems;auto
безпека та захист > засоби і системи СККД > системи СКВД;access_systems;day;3873;Home & Garden > Business & Home Security > Home Alarm Systems;auto
"авто-, мото > аксесуари для авто > засоби аварійної безпеки > проблискові маячки, спецсигнали та сирени";alarm;night;3318;Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Lighting;auto
"безпека та захист > обладнання електронне, прилади захисту й безпеки > системи захисту від потопу";alarm;day;1306;"Home & Garden > Flood, Fire & Gas Safety > Water & Flood Detectors";auto
"безпека та захист > системи охорони та оповіщення > брелоки, пульти для охоронних систем";alarm;night;365;Home & Garden > Business & Home Security > Security System Sensors;auto
безпека та захист > системи охорони та оповіщення > гучномовці;alarm;day;249;Electronics > Audio > Audio Components > Speakers;auto
безпека та захист > системи охорони та оповіщення > короби та корпуси для охоронних систем;alarm;day;3873;Home & Garden > Business & Home Security > Home Alarm Systems;auto
безпека та захист > системи охорони та оповіщення > охоронні сповіщувачі;alarm;night;365;Home & Garden > Business & Home Security > Security System Sensors;auto
безпека та захист > системи і засоби пожежної безпеки > пожежна автоматика > модулі контролю та управління;alarm;day;7226;"Home & Garden > Flood, Fire & Gas Safety > Fire Alarm Control Panels";auto
безпека та захист > системи і засоби пожежної безпеки > пожежна автоматика > пожежні сповіщувачі;alarm;day;1471;"Home & Garden > Flood, Fire & Gas Safety > Smoke & Carbon Monoxide Detectors > Smoke Detectors";auto
контрольно-вимірювальні прилади > датчики > датчики руху;alarm;night;2161;Home & Garden > Business & Home Security > Motion Sensors;auto
Дім і сад > сучасний будинок > охоронні системи та сигналізації;alarm_systems;night;3873;Home & Garden > Business & Home Security > Home Alarm Systems;auto
безпека та захист > системи охорони та оповіщення > приймально-контрольні прилади і прилади управління;alarm_systems;night;7226;"Home & Garden > Flood, Fire & Gas Safety > Fire Alarm Control Panels";auto
"електрообладнання > монтажне обладнання > дріт, кабель, системи з'єднання > роз'єми та конектори";cable;day;503729;Hardware > Power & Electrical Supplies > Wire Terminals & Connectors;auto
"електрообладнання > монтажне обладнання > дріт, кабель, системи з'єднання > силові кабелі, перемички";cable;day;2345;Hardware > Power & Electrical Supplies > Electrical Wires & Cable;auto
електрообладнання > монтажне обладнання > електроізолятори > Електроізоляційні стрічки та трубки;cable;day;2212;Hardware > Building Consumables > Hardware Tape;auto
електрообладнання > монтажне обладнання > кабеленесучі системи;cable;day;499769;Hardware > Power & Electrical Supplies > Conduit & Housings > Electrical Conduit;auto
техніка та електроніка > TV та відеотехніка > аксесуари для телевізорів та проекторів > кабелі для електроніки;cable;day;1867;Electronics > Electronics Accessories > Cables > Audio & Video Cables;auto
електрообладнання > монтажне обладнання > монтажні шафи;cable_box;day;5832;Business & Industrial > Industrial Storage > Industrial Cabinets;auto
"електрообладнання > монтажне обладнання > дріт, кабель, системи з'єднання > кабель для систем зв'язку";cable_systems;day;1480;Electronics > Electronics Accessories > Cables > Network Cables;auto
Воєнторг > оптичні прилади і системи > Тактичні тепловізори;components;day;6799;Hardware > Tools > Measuring Tools & Sensors > Thermal Imaging Cameras;auto
Дім і сад > догляд за будинком > догляд за побутовою технікою > засоби для очищення побутової техніки;components;day;4973;Home & Garden > Household Supplies > Household Cleaning Supplies > Household Cleaning Products;auto
безпека та захист > технічні засоби відеоспостереження > комплектуючі для систем відеоспостереження > кожухи і кронштейни;components;day;5937;Cameras & Optics > Camera & Optic Accessories > Camera Parts & Accessories > Surveillance Camera Accessories;auto
контрольно-вимірювальні прилади > електровимірювальні прилади > мультиметри;components;day;503737;Hardware > Tools > Measuring Tools & Sensors > Electrical Testing Tools;auto
"контрольно-вимірювальні прилади > прилади вимірювання, регулювання температури > термометри, пірометри, тепловізори";components;day;4506;Hardware > Tools > Measuring Tools & Sensors > Infrared Thermometers;auto
"контрольно-вимірювальні прилади > радіовимірювальні прилади > металошукачі, металодетектори";components;day;361;Business & Industrial > Law Enforcement > Metal Detectors;auto
матеріали для ремонту > герметики і монтажна піна > герметики і силікони;components;day;503744;Hardware > Building Consumables > Protective Coatings & Sealants;auto
матеріали для ремонту > скріплювальні вироби > кронштейни;components;day;7092;Hardware > Hardware Accessories > Brackets & Reinforcement Braces;auto
техніка та електроніка > аудіотехніка та аксесуари > мікрофони;components;day;234;Electronics > Audio > Audio Components > Microphones;auto
техніка та електроніка > побутова техніка > дрібна побутова техніка для кухні > кухонні ваги;components;day;1698;Hardware > Tools > Measuring Tools & Sensors > Measuring Scales;auto
"техніка та електроніка > фото-, відеокамери та аксесуари > Запчастини та комплектуючі для квадрокоптерів";drone;day;3977;Vehicles & Parts > Vehicle Parts & Accessories > Aircraft Parts & Accessories;auto
"техніка та електроніка > фото-, відеокамери та аксесуари > Квадрокоптери";drone;day;3395;Vehicles & Parts > Vehicles > Aircraft;auto
"електрообладнання > компоненти АСУТП > реле > автоматичні вимикачі, ПЗВ";energy;day;6807;Hardware > Power & Electrical Supplies > Circuit Breaker Panels;auto
електрообладнання > компоненти АСУТП > реле > реле напруги;energy;day;499932;Hardware > Power & Electrical Supplies > Electrical Switches > Specialty Electrical Switches & Relays;auto
електрообладнання > обладнання для електропостачання > щитове обладнання;energy;day;6807;Hardware > Power & Electrical Supplies > Circuit Breaker Panels;auto
"електрообладнання > освітлення, електрика > LED освітлення";energy;day;3329;Home & Garden > Lighting > Light Bulbs > LED Light Bulbs;auto
"електрообладнання > освітлення, електрика > вуличне освітлення";energy;day;1546;Home & Garden > Lighting > Flood & Spot Lights;auto
"електрообладнання > освітлення, електрика > комплектуючі для освітлення та електрики > електричні подовжувачі";energy;day;4789;Hardware > Power & Electrical Supplies > Extension Cords;auto
матеріали для ремонту > електрика > настінні вимикачі;energy;day;1935;Hardware > Power & Electrical Supplies > Electrical Switches > Light Switches;auto
матеріали для ремонту > електрика > розетки електричні;energy;day;1869;Hardware > Power & Electrical Supplies > Power Outlets & Sockets;auto
матеріали для ремонту > електрика > силові вилки та розетки;energy;day;1869;Hardware > Power & Electrical Supplies > Power Outlets & Sockets;auto
техніка та електроніка > комп'ютерна техніка та ПЗ > Планшети;it;day;4745;Electronics > Computers > Tablet Computers;auto
техніка та електроніка > комп'ютерна техніка та ПЗ > комп'ютерні аксесуари > Комп'ютерні клавіатури;it;day;303;Electronics > Electronics Accessories > Computer Components > Input Devices > Keyboards;auto
"техніка та електроніка > комп'ютерна техніка та ПЗ > комплектуючі для комп'ютерної техніки > внутрішні та зовнішні жорсткі диски, HDD, SSD";it;day;380;Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives;auto
техніка та електроніка > комп'ютерна техніка та ПЗ > монітори;it;day;305;Electronics > Video > Computer Monitors;auto
техніка та електроніка > комп'ютерна техніка та ПЗ > носії інформації > карти пам'яті;it;day;3387;Electronics > Electronics Accessories > Memory > Flash Memory > Flash Memory Cards;auto
Воєнторг > Засоби зв'язку і позиціонування > переговорні пристрої;military;day;273;Electronics > Communications > Communication Radios > Two-Way Radios;auto
Воєнторг > Тактичний захист та екіпірування > Армійські спецсумки і рюкзаки;military;day;100;Luggage & Bags > Backpacks;auto
Воєнторг > Тактичний захист та екіпірування > розвантажувальні жилети та плитоноски без плит;military;day;2389;Business & Industrial > Work Safety Protective Gear > Bullet Proof Vests;auto
Воєнторг > оптичні прилади і системи > прилади нічного бачення;military;day;156;Cameras & Optics > Optics;auto
Воєнторг > оптичні прилади і системи > приціли і мушки;military;day;1695;Cameras & Optics > Optics > Scopes > Weapon Scopes & Sights;auto
"обладнання та товари для надання послуг > професійне аудіо-, відео-, фото обладнання > приймачі і передавачі сигналу";network;day;2121;Electronics > Networking > Repeaters & Transceivers;auto
телекомунікації та зв'язок > активне мережеве обладнання > обладнання для живлення по ethernet;network;day;6508;Electronics > Networking > Power Over Ethernet Adapters;auto
"телекомунікації та зв'язок > пасивне мережеве обладнання > HUB'и, мости, репітери";network;day;2121;Electronics > Networking > Repeaters & Transceivers;auto
телекомунікації та зв'язок > пасивне мережеве обладнання > комунікаційні розетки;network;day;2028;Hardware > Power & Electrical Supplies > Phone & Data Jacks;auto
"телекомунікації та зв'язок > пасивне мережеве обладнання > мережеві конектори, модулі та роз'єми";network;day;290;Electronics > Networking > Network Cards & Adapters;auto
телекомунікації та зв'язок > пасивне мережеве обладнання > оптоволоконне обладнання > модулі GBIC та SFP;network;day;2121;Electronics > Networking > Repeaters & Transceivers;auto
телекомунікації та зв'язок > пасивне мережеве обладнання > оптоволоконне обладнання > оптичні конвертери;network;day;2121;Electronics > Networking > Repeaters & Transceivers;auto
телекомунікації та зв'язок > пасивне мережеве обладнання > патч-корди;network;day;1480;Electronics > Electronics Accessories > Cables > Network Cables;auto
телекомунікації та зв'язок > пасивне мережеве обладнання > патч-панелі;network;day;5273;Electronics > Electronics Accessories > Cable Management > Patch Panels;auto
телекомунікації та зв'язок > серверне обладнання > аксесуари та комплектуючі для серверного обладнання;network;day;331;Electronics > Computers > Computer Servers;auto
телекомунікації та зв'язок > серверне обладнання > мережеві накопичувачі;network;day;5269;Electronics > Electronics Accessories > Computer Components > Storage Devices > Network Storage Systems;auto
"телекомунікації та зв'язок > інструмент для мережевих робіт > кабельні тестери, wi-fi тестери";network;day;5526;Hardware > Tool Accessories > Measuring Tool & Sensor Accessories;auto
телекомунікації та зв'язок > інструмент для мережевих робіт > інструмент для закладення кабелю;network;day;1469;Hardware > Tools > Wire & Cable Hand Tools;auto
техніка та електроніка > бездротовий зв'язок > Wi-fi адаптери;network;day;290;Electronics > Networking > Network Cards & Adapters;auto
техніка та електроніка > бездротовий зв'язок > антенні підсилювачі;network;day;5473;Electronics > Electronics Accessories > Signal Boosters;auto
"техніка та електроніка > бездротовий зв'язок > мости, шлюзи бездротових мереж";network;day;5496;Electronics > Networking > Bridges & Routers > Wireless Access Points;auto
техніка та електроніка > телефони та аксесуари > стаціонарні телефони;network;day;271;Electronics > Communications > Telephony > Corded Phones;auto
техніка та електроніка > бездротовий зв'язок > Роутери;network_routers;day;5497;Electronics > Networking > Bridges & Routers > Wireless Routers;auto
телекомунікації та зв'язок > активне мережеве обладнання > комутатори;network_switches;night;2455;Electronics > Networking > Hubs & Switches;auto
Дім і сад > сад > інструменти для обробки грунту > набори садових інструментів;outdoor;day;3173;Home & Garden > Lawn & Garden > Gardening > Gardening Tools;auto
"Дім і сад > сад > інструменти для обрізки > садові ножиці, секатори, ножі";outdoor;day;3841;Home & Garden > Lawn & Garden > Gardening > Gardening Tools > Pruning Shears;auto
спорт і відпочинок > товари для туризму та подорожей > газове обладнання для туризму > туристичні плити та пальники;outdoor;day;1015;Home & Garden > Kitchen & Dining > Kitchen Appliances > Portable Cooking Stoves;auto
спорт і відпочинок > товари для туризму та подорожей > каремати та сидушки;outdoor;day;1021;Sporting Goods > Outdoor Recreation > Camping & Hiking > Sleeping Pads;auto
спорт і відпочинок > товари для туризму та подорожей > туристичний посуд > туристичні фляги;outdoor;day;3435;Home & Garden > Kitchen & Dining > Food & Beverage Carriers > Canteens;auto
"спорт і відпочинок > товари для туризму та подорожей > туристичні інструменти > Ножі для полювання, риболовлі та туризму";outdoor;day;3495;Sporting Goods > Outdoor Recreation > Camping & Hiking > Camping Tools > Hunting & Survival Knives;auto
спорт і відпочинок > товари для туризму та подорожей > туристичні інструменти > ручні та налобні ліхтарі;outdoor;day;2454;Hardware > Tools > Flashlights & Headlamps > Headlamps;auto
спорт і відпочинок > тренажери > спортивні стінки і турніки для дому;outdoor;day;8215;Sporting Goods > Exercise & Fitness > Push Up & Pull Up Bars;auto
електрообладнання > батареї та акумулятори > зарядні пристрої для акумуляторів;power;day;7167;Electronics > Electronics Accessories > Power > Battery Accessories > General Purpose Battery Chargers;auto
промислове обладнання та верстати > альтернативні джерела енергії > комплектуючі для альтернативних джерел енергії;power;day;4715;Hardware > Power & Electrical Supplies > Solar Energy Kits;auto
"промислове обладнання та верстати > альтернативні джерела енергії > системи, які використовують сонячну енергію > сонячні контролери";power;day;6817;Electronics > Electronics Accessories > Power > Battery Accessories > Battery Charge Controllers;auto
"промислове обладнання та верстати > альтернативні джерела енергії > системи, які використовують сонячну енергію > сонячні панелі";power;day;4714;Hardware > Power & Electrical Supplies > Solar Panels;auto
техніка та електроніка > аудіотехніка та аксесуари > батарейки;power;day;4928;Electronics > Electronics Accessories > Power > Batteries > General Purpose Batteries;auto
техніка та електроніка > Повербанки та зарядні станції > Повербанки;power_banks;day;505295;Electronics > Electronics Accessories > Power > Power Adapters & Chargers;auto
електрообладнання > батареї та акумулятори > акумулятори загального призначення;power_battery;day;4928;Electronics > Electronics Accessories > Power > Batteries > General Purpose Batteries;auto
електрообладнання > генератори та електростанції > електрогенератори;power_generators;day;1218;Hardware > Power & Electrical Supplies > Generators;auto
електрообладнання > компоненти АСУТП > перетворювачі > інвертори;power_inverters;day;5142;Hardware > Power & Electrical Supplies > Power Inverters;auto
електрообладнання > обладнання для електропостачання > блоки живлення > стабілізатори напруги;power_stabilizers;day;505318;Hardware > Power & Electrical Supplies > Voltage Transformers & Regulators;auto
техніка та електроніка > Повербанки та зарядні станції > Зарядні станції;power_stations;day;505295;Electronics > Electronics Accessories > Power > Power Adapters & Chargers;auto
електрообладнання > обладнання для електропостачання > блоки живлення > Промислові та побутові джерела живлення;power_supplies;day;291;Electronics > Electronics Accessories > Computer Components > Computer Power Supplies;auto
електрообладнання > обладнання для електропостачання > блоки живлення > джерела безперебійного живлення (ДБЖ);power_ups;day;1348;Electronics > Electronics Accessories > Power > UPS;auto
безпека та захист > засоби організації дорожнього руху > тимчасові дорожні огорожі;safety;day;8278;Business & Industrial > Construction > Traffic Cones & Barrels;auto
"будівництво > будівельні матеріали > ворота, огорожі, шлагбауми та комплектуючі > аксесуари для воріт і шлагбаумів";safety;day;502983;Hardware > Fencing & Barriers > Fence & Gate Accessories;auto
"будівництво > будівельні матеріали > ворота, огорожі, шлагбауми та комплектуючі > шлагбауми";safety;day;1788;Hardware > Fencing & Barriers > Gates;auto
спецодяг та взуття > захисний спецодяг;safety;day;2047;Business & Industrial > Work Safety Protective Gear;auto
Дім і сад > сучасний будинок > Датчики для розумного будинку;smarthome;day;2161;Home & Garden > Business & Home Security > Motion Sensors;auto
"Зоотовари > товари для домашніх тварин і птахів > Годування домашніх тварин і птахів > годівниці, поїлки та миски для домашніх тварин і птахів";smarthome;day;6252;"Animals & Pet Supplies > Pet Supplies > Pet Bowls, Feeders & Waterers";auto
Зоотовари > товари для домашніх тварин і птахів > товари для догляду за домашніми тваринами > засоби для гігієни тварин;smarthome;day;6383;Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies;auto
"Зоотовари > товари для домашніх тварин і птахів > товари для домашніх тварин і птахів, загальне";smarthome;day;2;Animals & Pet Supplies > Pet Supplies;auto
контрольно-вимірювальні прилади > датчики > датчики якості повітря;smarthome;day;5515;Hardware > Tools > Measuring Tools & Sensors > Air Quality Meters;auto
матеріали для ремонту > побутове водопостачання > побутове очищення води > побутові фільтри комплексного очищення води;smarthome;day;765;Home & Garden > Kitchen & Dining > Kitchen Appliances > Water Filters;auto
техніка та електроніка > побутова техніка > кліматична техніка > зволожувачі та очищувачі повітря;smarthome;day;613;Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers;auto
техніка та електроніка > побутова техніка > кліматична техніка > інфрачервоні та каталітичні обігрівачі;smarthome;day;611;Home & Garden > Household Appliances > Climate Control Appliances > Space Heaters;auto
"техніка та електроніка > побутова техніка > побутова техніка для особистого користування > побутова техніка для особистого користування, загальне";smarthome;day;604;Home & Garden > Household Appliances;auto
Інструменти > електроінструмент > багатофункціональні інструменти;tool;day;5587;Hardware > Tools > Multifunction Power Tools;auto
Інструменти > електроінструмент > паяльники;tool;day;1236;Hardware > Tools > Soldering Irons;auto
Інструменти > ручний інструмент > мультитули;tool;day;4095;Sporting Goods > Outdoor Recreation > Camping & Hiking > Camping Tools > Multifunction Tools & Knives;auto
"Дім і сад > сад > садовий інвентар і освітлення > садові пилосмокти, повітродувки";tool;day;3340;Home & Garden > Lawn & Garden > Outdoor Power Equipment > Leaf Blowers;auto
Дім і сад > сад > інструменти для обробки грунту > Вила;tool;day;3071;Home & Garden > Lawn & Garden > Gardening > Gardening Tools > Gardening Forks;auto
Дім і сад > сад > інструменти для обробки грунту > Граблі;tool;day;3388;Home & Garden > Lawn & Garden > Gardening > Gardening Tools > Rakes;auto
будівництво > будівельна техніка та обладнання > риштування та інші конструкції для ремонтно-будівельних робіт > будівельні та садові сходи;tool;day;635;Hardware > Tools > Ladders & Scaffolding > Step Stools;auto
будівництво > будівельна техніка та обладнання > риштування та інші конструкції для ремонтно-будівельних робіт > драбини;tool;day;6928;Hardware > Tools > Ladders & Scaffolding > Ladders;auto
обладнання та товари для надання послуг > обладнання для автосервісу > обладнання для автомийок > апарати високого тиску;tool;day;1226;Home & Garden > Lawn & Garden > Outdoor Power Equipment > Pressure Washers;auto
техніка та електроніка > TV та відеотехніка > аксесуари для телевізорів та проекторів > ДУ пульти;tv;day;341;Electronics > Electronics Accessories > Remote Controls;auto
"техніка та електроніка > TV та відеотехніка > аксесуари для телевізорів та проекторів > кріплення та ліфти для побутової, цифрової техніки";tv;day;4458;Electronics > Video > Video Accessories > Television Parts & Accessories > TV & Monitor Mounts;auto
"техніка та електроніка > TV та відеотехніка > супутникове, кабельне телебачення > дайсеки, підсилювачі, телевізійні розгалужувачі";tv;day;1544;Electronics > Components > Splitters;auto
"техніка та електроніка > TV та відеотехніка > супутникове, кабельне телебачення > запчастини для супутникового обладнання";tv;day;5561;Electronics > Video > Satellite & Cable TV;auto
"техніка та електроніка > TV та відеотехніка > супутникове, кабельне телебачення > супутникові антени";tv;day;1718;Electronics > Electronics Accessories > Antennas;auto
"техніка та електроніка > TV та відеотехніка > супутникове, кабельне телебачення > супутникові конвертери";tv;day;6016;Electronics > Electronics Accessories > Antenna Accessories > Satellite LNBs;auto
техніка та електроніка > TV та відеотехніка > телевізори;tv;day;404;Electronics > Video > Televisions;auto
техніка та електроніка > TV та відеотехніка > аксесуари для телевізорів та проекторів > телевізійні антени;tv_antennas;day;1718;Electronics > Electronics Accessories > Antennas;auto
техніка та електроніка > TV та відеотехніка > Медіаплеєри;tv_players;day;5276;Electronics > Video > Video Players & Recorders > Streaming & Home Media Players;auto
"техніка та електроніка > TV та відеотехніка > супутникове, кабельне телебачення > ресивери цифрового телебачення";tv_receivers;day;401;Electronics > Video > Satellite & Cable TV > Satellite Receivers;auto
"авто-, мото > автомобільна електроніка > автомобільні відеореєстратори";video;day;505766;Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Electronics > Motor Vehicle A/V Players & In-Dash Systems;auto
безпека та захист > технічні засоби відеоспостереження > комплектуючі для систем відеоспостереження > пульти для систем відеоспостереження;video;day;5532;Cameras & Optics > Camera & Optic Accessories > Camera Parts & Accessories > Camera Remote Controls;auto
безпека та захист > технічні засоби відеоспостереження > об'єктиви для камер відеоспостереження;video;day;5346;Cameras & Optics > Camera & Optic Accessories > Camera & Video Camera Lenses > Surveillance Camera Lenses;auto
"обладнання та товари для надання послуг > професійне аудіо-, відео-, фото обладнання > комутатори сигналу";video;day;1634;Electronics > Video > Video Multiplexers;auto
безпека та захист > технічні засоби відеоспостереження > камери відеоспостереження;video_cameras;night;362;Cameras & Optics > Cameras > Surveillance Cameras;auto
"спорт і відпочинок > товари для полювання > фотопастки, камери для полювання";video_cameras;day;5402;Cameras & Optics > Cameras > Trail Cameras;auto
"техніка та електроніка > фото-, відеокамери та аксесуари > відеотехніка > відеокамери, екшн-камери";video_cameras;night;155;Cameras & Optics > Cameras > Video Cameras;auto
"товари для дітей > гігієна та догляд за дітьми > радіоняні, відеоняні";video_cameras;night;541;Baby & Toddler > Baby Safety > Baby Monitors;auto
Дім і сад > сучасний будинок > стаціонарні відеореєстратори;video_recorders;night;390;Electronics > Video > Video Players & Recorders > Digital Video Recorders;auto
