№;Линк категории поставщика;channel;prefix;coef_retail;coef_dealer;Номер_групи;Назва_групи;Ідентифікатор_підрозділу;Посилання_підрозділу;Особисті_нотатки;Ярлик;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;feed;category id;Назва у постачальника;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
72;https://secur.ua/ajax/pozezna-bezpeka/rucni-spovishhuvaci/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;300921;https://prom.ua/Pozharnye-izveschateli;"S, Sprom, noindex";;Вага;г;;50;387;"Датчики тепла, диму та чадного газу";Тип устройства;;"Датчики тепла, диму та чадного газу"
73;https://secur.ua/ajax/pozezna-bezpeka/spovishhuvaci/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;300921;https://prom.ua/Pozharnye-izveschateli;S;;Вага;г;;50;483;Вуличні сирени;Тип устройства;;Вуличні пожарні сирени
74;https://secur.ua/ajax/pozezna-bezpeka/spovishhuvaci/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;300921;https://prom.ua/Pozharnye-izveschateli;"S, Sprom, noindex";;Вага;г;;50;483;Вуличні сирени;Тип устройства;;Вуличні пожарні сирени
75;"https://secur.ua/domofon/videodzvinki/status=1;brand=ajax";site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;3029;https://prom.ua/Domofony-videodomofony;S;;Вага;г;;50;593;Відеодзвінки;Тип устройства;;Відеодзвінки
76;"https://secur.ua/domofon/videodzvinki/status=1;brand=ajax";prom;prom_;"0,99";"1,3";148391021;Ajax;3029;https://prom.ua/Domofony-videodomofony;"S, Sprom, noindex";;Вага;г;;50;593;Відеодзвінки;Тип устройства;;Відеодзвінки
77;"https://secur.ua/jelektropitanie/akumuliatori/status=1;brand=ajax";site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;5280501;https://prom.ua/Akkumulyatornye-bloki;S;;Вага;г;;50;621;Акумулятори;Тип устройства;;Акумулятори Ajax
78;"https://secur.ua/jelektropitanie/akumuliatori/status=1;brand=ajax";prom;prom_;"0,99";"1,3";148391021;Ajax;5280501;https://prom.ua/Akkumulyatornye-bloki;"S, Sprom, noindex";;Вага;г;;50;621;Акумулятори;Тип устройства;;Акумулятори Ajax
79;;site;;"0,8";"1,3";8950007;Видеорегистраторы для видеонаблюдения;301101;https://prom.ua/Videoregistratory;S;;Вага;г;;52;13;Відеореєстратори;Тип устройства;;Реєстратори
80;;prom;prom_;"0,85";"1,3";140905382;Безопасность и комфорт;301101;https://prom.ua/Videoregistratory;"S, Sprom, noindex";;Вага;г;;52;13;Відеореєстратори;Тип устройства;;Реєстратори
81;;site;;"0,8";"1,3";8950011;Видеокамеры для видеонаблюдения;301105;https://prom.ua/Kamery-videonablyudeniya;S;;Вага;г;;52;25;Відеокамери;Тип устройства;;Камери
82;;prom;prom_;"0,85";"1,3";140905382;Безопасность и комфорт;301105;https://prom.ua/Kamery-videonablyudeniya;"S, Sprom, noindex";;Вага;г;;52;25;Відеокамери;Тип устройства;;Камери
83;;site;;"0,8";"1,19";4321341;Комплектующие для видеонаблюдения;301112;https://prom.ua/Kozhuhi-i-kronshtejny;S;;Вага;г;;52;50;Кронштейни;Тип устройства;;Кронштейни для камер
84;;prom;prom_;"0,85";"1,3";140905382;Безопасность и комфорт;301112;https://prom.ua/Kozhuhi-i-kronshtejny;"S, Sprom, noindex";;Вага;г;;52;50;Кронштейни;Тип устройства;;Кронштейни для камер
85;;site;;"0,85";"1,19";4321341;Комплектующие для видеонаблюдения;5092913;https://prom.ua/Korobki-montazhnye;S;;Вага;г;;52;49;Монтажні коробки;Тип устройства;;Розподільні коробки для камер
86;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;5092913;https://prom.ua/Korobki-montazhnye;"S, Sprom, noindex";;Вага;г;;52;49;Монтажні коробки;Тип устройства;;Розподільні коробки для камер
87;;site;;"0,85";"1,19";90906797;Тепловизоры;153709;https://prom.ua/Termometry-pirometry-teplovizory;S;;Вага;г;;52;61;Моніторинг температури тіла;Тип устройства;;Моніторинг температури тіла
88;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;153709;https://prom.ua/Termometry-pirometry-teplovizory;"S, Sprom, noindex";;Вага;г;;52;61;Моніторинг температури тіла;Тип устройства;;Моніторинг температури тіла
89;;site;;"0,85";"1,19";4321341;Комплектующие для видеонаблюдения;301110;https://prom.ua/Pulty-dlya-sistem-videonablyudeniya;S;;Вага;г;;52;43;Пульти керування (PTZ);Тип устройства;;Пульти управління
90;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;301110;https://prom.ua/Pulty-dlya-sistem-videonablyudeniya;"S, Sprom, noindex";;Вага;г;;52;43;Пульти керування (PTZ);Тип устройства;;Пульти управління
91;;site;;"0,85";"1,19";127628166;Терминалы;3030;https://prom.ua/Sistemy-kontrolya-dostupa;S;;Вага;г;;52;323;Автономні біометричні термінали і сканери;Тип устройства;;Автономні біометричні термінали і сканери
92;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;3030;https://prom.ua/Sistemy-kontrolya-dostupa;"S, Sprom, noindex";;Вага;г;;52;323;Автономні біометричні термінали і сканери;Тип устройства;;Автономні біометричні термінали і сканери
93;;site;;"0,85";"1,19";127628173;Считыватели;301311;https://prom.ua/Schityvateli;S;;Вага;г;;52;76;Зчитувачі;;;
94;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;301311;https://prom.ua/Schityvateli;"S, Sprom, noindex";;Вага;г;;52;76;Зчитувачі;;;
95;;site;;"0,85";"1,19";90718784;Вызывные видеопанели;3029;https://prom.ua/Domofony-videodomofony;S;;Вага;г;;52;185;Викличні панелі;Тип устройства;;Відеопанель кольорова виклична
96;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;3029;https://prom.ua/Domofony-videodomofony;"S, Sprom, noindex";;Вага;г;;52;185;Викличні панелі;Тип устройства;;Відеопанель кольорова виклична
97;;site;;"0,85";"1,19";4328775;Видеодомофоны;3029;https://prom.ua/Domofony-videodomofony;S;;Вага;г;;52;184;Відеодомофони;Тип устройства;;Відеодомофон
98;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;3029;https://prom.ua/Domofony-videodomofony;"S, Sprom, noindex";;Вага;г;;52;184;Відеодомофони;Тип устройства;;Відеодомофон
99;;site;;"0,85";"1,19";127628176;Контроллеры;301312;https://prom.ua/Kontrollery;S;;Вага;г;;52;77;Контролери;;;
100;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;301312;https://prom.ua/Kontrollery;"S, Sprom, noindex";;Вага;г;;52;77;Контролери;;;
101;;site;;"0,85";"1,19";23295147;Коммутаторы;71903;https://prom.ua/Kommutatory;S;;Вага;г;;52;301;Комутатори;;;
102;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;71903;https://prom.ua/Kommutatory;"S, Sprom, noindex";;Вага;г;;52;301;Комутатори;;;
103;;site;;"0,85";"1,19";8950007;Видеорегистраторы для видеонаблюдения;301101;https://prom.ua/Videoregistratory;S;;Вага;г;;52;3;Комплекти відеоспостереження;Тип устройства;;Комплекти відеонагляду
104;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;301101;https://prom.ua/Videoregistratory;"S, Sprom, noindex";;Вага;г;;52;3;Комплекти відеоспостереження;Тип устройства;;Комплекти відеонагляду
105;;site;;"0,85";"1,19";8950007;Видеорегистраторы для видеонаблюдения;301101;https://prom.ua/Videoregistratory;S;;Вага;г;;52;64;Автомобільні відеореєстратори;Тип устройства;;Автомобільні відеореєстратори
106;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;301101;https://prom.ua/Videoregistratory;"S, Sprom, noindex";;Вага;г;;52;64;Автомобільні відеореєстратори;Тип устройства;;Автомобільні відеореєстратори
107;;site;;"0,85";"1,19";8950007;Видеорегистраторы для видеонаблюдения;301101;https://prom.ua/Videoregistratory;S;;Вага;г;;52;53;Персональні відеореєстратори;Тип устройства;;Персональні відеореєстратори
108;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;301101;https://prom.ua/Videoregistratory;"S, Sprom, noindex";;Вага;г;;52;53;Персональні відеореєстратори;Тип устройства;;Персональні відеореєстратори
109;;site;;"0,85";"1,19";8950007;Видеорегистраторы для видеонаблюдения;301101;https://prom.ua/Videoregistratory;S;;Вага;г;;52;54;Нагрудні відеореєстратори;Тип устройства;;Нагрудні відеореєстратори
110;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;301101;https://prom.ua/Videoregistratory;"S, Sprom, noindex";;Вага;г;;52;54;Нагрудні відеореєстратори;Тип устройства;;Нагрудні відеореєстратори
111;;site;;"0,85";"1,19";8950007;Видеорегистраторы для видеонаблюдения;301101;https://prom.ua/Videoregistratory;S;;Вага;г;;52;55;ДОК-станції для нагрудних видеореєстраторів;Тип устройства;;ДОК-станції для нагрудних видеореєстраторів
112;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;301101;https://prom.ua/Videoregistratory;"S, Sprom, noindex";;Вага;г;;52;55;ДОК-станції для нагрудних видеореєстраторів;Тип устройства;;ДОК-станції для нагрудних видеореєстраторів
113;;site;;"0,85";"1,19";16703618;Комплектующие для контроля доступа;3030;https://prom.ua/Sistemy-kontrolya-dostupa;S;;Вага;г;;52;97;Аксесуари для замків;Тип устройства;;Комплектуючі для замків
114;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;3030;https://prom.ua/Sistemy-kontrolya-dostupa;"S, Sprom, noindex";;Вага;г;;52;97;Аксесуари для замків;Тип устройства;;Комплектуючі для замків
115;;site;;"0,85";"1,19";127628160;Карты и ключи для домофона;301310;https://prom.ua/Identifikatory;S;;Вага;г;;52;84;Картки і брелоки;Тип устройства;;Картки і брелоки
116;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;301310;https://prom.ua/Identifikatory;"S, Sprom, noindex";;Вага;г;;52;84;Картки і брелоки;Тип устройства;;Картки і брелоки
117;;site;;"0,85";"1,19";127628170;Кнопки выхода;302308;https://prom.ua/Trevozhnye-knopki-i-knopki-vyhoda;S;;Вага;г;;52;85;Кнопки виходу;Тип устройства;;Кнопки виходу Tecsar
118;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;302308;https://prom.ua/Trevozhnye-knopki-i-knopki-vyhoda;"S, Sprom, noindex";;Вага;г;;52;85;Кнопки виходу;Тип устройства;;Кнопки виходу Tecsar
119;;site;;"0,85";"1,19";90997501;Замки;301010;https://prom.ua/Mehanicheskie-zamki;S;;Вага;г;;52;78;Електрозамки;Тип устройства;;електромеханічний
120;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;301010;https://prom.ua/Mehanicheskie-zamki;"S, Sprom, noindex";;Вага;г;;52;78;Електрозамки;Тип устройства;;електромеханічний
121;;site;;"0,85";"1,19";127351950;Блоки питания;14191103;https://prom.ua/Promyshlennye-istochniki-pitaniya;S;;Вага;г;;52;675;Блоки живлення для відеоспостереження;Тип устройства;;Блоки живлення для відеоспостереження
122;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;14191103;https://prom.ua/Promyshlennye-istochniki-pitaniya;"S, Sprom, noindex";;Вага;г;;52;675;Блоки живлення для відеоспостереження;Тип устройства;;Блоки живлення для відеоспостереження
123;;site;;"0,85";"1,19";17012111;Кабель;7190605;https://prom.ua/Kabel-telefonnyj;S;;Вага;г;;52;337;Сигнальний кабель;Тип устройства;;Сигнальний
124;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;7190605;https://prom.ua/Kabel-telefonnyj;"S, Sprom, noindex";;Вага;г;;52;337;Сигнальний кабель;Тип устройства;;Сигнальний
125;;site;;"0,85";"1,19";152088624;Дверные доводчики;15380311;https://prom.ua/Dovodchiki-dverej;S;;Вага;г;;52;86;Доводчики на двері (дотягувач);;;
126;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;15380311;https://prom.ua/Dovodchiki-dverej;"S, Sprom, noindex";;Вага;г;;52;86;Доводчики на двері (дотягувач);;;
127;;site;;"0,85";"1,19";152088176;Турникеты;301301;https://prom.ua/Turnikety;S;;Вага;г;;52;135;Повно-ростові турнікети;Тип устройства;;Повно-ростові турнікети
128;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;301301;https://prom.ua/Turnikety;"S, Sprom, noindex";;Вага;г;;52;135;Повно-ростові турнікети;Тип устройства;;Повно-ростові турнікети
129;;site;;"0,85";"1,19";152088176;Турникеты;301301;https://prom.ua/Turnikety;S;;Вага;г;;52;136;Турнікети-триподи;Тип устройства;;Турнікети-триподи
130;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;301301;https://prom.ua/Turnikety;"S, Sprom, noindex";;Вага;г;;52;136;Турнікети-триподи;Тип устройства;;Турнікети-триподи
131;;site;;"0,85";"1,19";152088176;Турникеты;301301;https://prom.ua/Turnikety;S;;Вага;г;;52;137;Турнікети Freeway;Тип устройства;;Турнікети Freeway
132;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;301301;https://prom.ua/Turnikety;"S, Sprom, noindex";;Вага;г;;52;137;Турнікети Freeway;Тип устройства;;Турнікети Freeway
133;;site;;"0,85";"1,19";90997501;Замки;301010;https://prom.ua/Mehanicheskie-zamki;S;;Вага;г;;52;89;Біометричні замки;Тип устройства;;Біометричні замки
134;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;301010;https://prom.ua/Mehanicheskie-zamki;"S, Sprom, noindex";;Вага;г;;52;89;Біометричні замки;Тип устройства;;Біометричні замки
135;;site;;"0,85";"1,19";16703618;Комплектующие для контроля доступа;3030;https://prom.ua/Sistemy-kontrolya-dostupa;S;;Вага;г;;52;90;Аксесуари СКУД;Тип устройства;;Комплектуючі для СККД
136;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;3030;https://prom.ua/Sistemy-kontrolya-dostupa;"S, Sprom, noindex";;Вага;г;;52;90;Аксесуари СКУД;Тип устройства;;Комплектуючі для СККД
137;;site;;"0,85";"1,19";152209799;Металодетекторы;50505;https://prom.ua/Metallodetektory;S;;Вага;г;;52;315;Арочні металошукачі;Тип устройства;;Арочні металошукачі
138;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;50505;https://prom.ua/Metallodetektory;"S, Sprom, noindex";;Вага;г;;52;315;Арочні металошукачі;Тип устройства;;Арочні металошукачі
139;;site;;"0,85";"1,19";152209799;Металодетекторы;50505;https://prom.ua/Metallodetektory;S;;Вага;г;;52;316;Ручні металошукачі;Тип устройства;;Ручні металошукачі
140;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;50505;https://prom.ua/Metallodetektory;"S, Sprom, noindex";;Вага;г;;52;316;Ручні металошукачі;Тип устройства;;Ручні металошукачі
141;;site;;"0,85";"1,19";127628176;Контроллеры;301312;https://prom.ua/Kontrollery;S;;Вага;г;;52;320;Контролери біометричні;;;
142;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;301312;https://prom.ua/Kontrollery;"S, Sprom, noindex";;Вага;г;;52;320;Контролери біометричні;;;
143;;site;;"0,85";"1,19";127628166;Терминалы;3030;https://prom.ua/Sistemy-kontrolya-dostupa;S;;Вага;г;;52;321;Термінали обліку робочого часу;Тип устройства;;Термінали обліку робочого часу
144;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;3030;https://prom.ua/Sistemy-kontrolya-dostupa;"S, Sprom, noindex";;Вага;г;;52;321;Термінали обліку робочого часу;Тип устройства;;Термінали обліку робочого часу
145;;site;;"0,85";"1,19";90906797;Тепловизоры;153729;https://prom.ua/Takticheskie-teplovizory-;S;;Вага;г;;52;711;Тепловізори;;;
146;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;153729;https://prom.ua/Takticheskie-teplovizory-;"S, Sprom, noindex";;Вага;г;;52;711;Тепловізори;;;
147;;site;;"0,85";"1,19";152090354;Инжекторы;50928;https://prom.ua/Oborudovanie-dlya-pitaniya-po-ethernet;S;;Вага;г;;52;302;Пристрої PoE;;;
148;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;50928;https://prom.ua/Oborudovanie-dlya-pitaniya-po-ethernet;"S, Sprom, noindex";;Вага;г;;52;302;Пристрої PoE;;;
149;;site;;"0,85";"1,19";152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;S;;Вага;г;;52;479;Охорона периметра;Тип устройства;;Охорона периметра
150;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;"S, Sprom, noindex";;Вага;г;;52;479;Охорона периметра;Тип устройства;;Охорона периметра
151;;site;;"0,85";"1,19";151114178;Зарядные станции;500901;https://prom.ua/Zaryadnye-stantsii;S;;Вага;г;;52;209;Зарядні станції;;;
152;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;500901;https://prom.ua/Zaryadnye-stantsii;"S, Sprom, noindex";;Вага;г;;52;209;Зарядні станції;;;
153;;site;;"0,85";"1,19";152133408;Модульное оборудование;14190906;https://prom.ua/Rele-differentsialnye;S;;Вага;г;;52;650;Автоматичні вимикачі;Тип устройства;;Автоматичні вимикачі
154;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;14190906;https://prom.ua/Rele-differentsialnye;"S, Sprom, noindex";;Вага;г;;52;650;Автоматичні вимикачі;Тип устройства;;Автоматичні вимикачі
155;;site;;"0,85";"1,19";152133408;Модульное оборудование;14190906;https://prom.ua/Rele-differentsialnye;S;;Вага;г;;52;651;Реле напруги;Тип устройства;;Реле напруги
156;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;14190906;https://prom.ua/Rele-differentsialnye;"S, Sprom, noindex";;Вага;г;;52;651;Реле напруги;Тип устройства;;Реле напруги
157;;site;;"0,85";"1,19";4321341;Комплектующие для видеонаблюдения;301106;https://prom.ua/Obektivy-dlya-kamer-videonablyudeniya;S;;Вага;г;;52;42;Об'єктиви;Тип устройства;;Об'єктиви
158;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;301106;https://prom.ua/Obektivy-dlya-kamer-videonablyudeniya;"S, Sprom, noindex";;Вага;г;;52;42;Об'єктиви;Тип устройства;;Об'єктиви
159;;site;;"0,85";"1,19";152481182;Мониторы;706;https://prom.ua/Monitory;S;;Вага;г;;52;219;Монітори;Тип устройства;;Монітори
160;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;706;https://prom.ua/Monitory;"S, Sprom, noindex";;Вага;г;;52;219;Монітори;;;
161;;site;;"0,85";"1,19";152481185;Планшеты;70105;https://prom.ua/Planshetnye-netbuki;S;;Вага;г;;52;607;Планшети;;;
162;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;70105;https://prom.ua/Planshetnye-netbuki;"S, Sprom, noindex";;Вага;г;;52;607;Планшети;;;
163;;site;;"0,85";"1,19";127351973;Свинцовые аккумуляторы;5280501;https://prom.ua/Akkumulyatornye-bloki;S;;Вага;г;;52;621;Акумулятори;Тип устройства;;Свинцеві акумулятори
164;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;5280501;https://prom.ua/Akkumulyatornye-bloki;"S, Sprom, noindex";;Вага;г;;52;621;Акумулятори;Тип устройства;;Свинцеві акумулятори
165;;site;;"0,85";"1,19";152481294;Сетевые хранилища;70807;https://prom.ua/Setevye-nakopiteli;S;;Вага;г;;52;225;Мережеві сховища;;;
166;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;70807;https://prom.ua/Setevye-nakopiteli;"S, Sprom, noindex";;Вага;г;;52;225;Мережеві сховища;;;
167;;site;;"0,85";"1,19";152483771;Фотоловушки;180312;https://prom.ua/Fotolovushki-kamery-dlya-ohoty;S;;Вага;г;;52;596;Фотопастки;;;
168;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;180312;https://prom.ua/Fotolovushki-kamery-dlya-ohoty;"S, Sprom, noindex";;Вага;г;;52;596;Фотопастки;;;
169;;site;;"0,85";"1,19";152481192;Системы парковки;135605;https://prom.ua/Shlagbaumy;S;;Вага;г;;52;147;Автоматичні шлагбауми;Тип устройства;;Шлагбауми
170;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;135605;https://prom.ua/Shlagbaumy;"S, Sprom, noindex";;Вага;г;;52;147;Автоматичні шлагбауми;Тип устройства;;Шлагбауми
171;;site;;"0,85";"1,19";152481192;Системы парковки;301501;https://prom.ua/Dorozhnye-ograzhdeniya;S;;Вага;г;;52;148;Бар'єри;Тип устройства;;Блокувальник паркувального місця
172;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;301501;https://prom.ua/Dorozhnye-ograzhdeniya;"S, Sprom, noindex";;Вага;г;;52;148;Бар'єри;Тип устройства;;Блокувальник паркувального місця
173;;site;;"0,85";"1,19";152481192;Системы парковки;13560901;https://prom.ua/Aksessuary-dlya-vorot-i-shagbaumov;S;;Вага;г;;52;606;Аксесуари до шлагбаумів;Тип устройства;;Комплектуючі до шлагбаумів
174;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;13560901;https://prom.ua/Aksessuary-dlya-vorot-i-shagbaumov;"S, Sprom, noindex";;Вага;г;;52;606;Аксесуари до шлагбаумів;Тип устройства;;Комплектуючі до шлагбаумів
